geoid,timestep,deaths_sp_lag,INTPTLAT,INTPTLON,timestep,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_,prev_deaths_05back,prev_deaths_04back,prev_deaths_03back,prev_deaths_02back,prev_deaths_01back
17031081401,2,0.8333333333333334,41.8950347,-87.6197175,2,0.1725,0.3314,0.4238,0.9139,0.4632,0.0,0.0,0.0,0.0,1.0
17031081402,2,1.6666666666666667,41.8910215,-87.612931,2,0.0453,0.0244,0.3759,0.5706,0.0816,0.0,0.0,0.0,0.0,1.0
17031081403,2,0.7777777777777778,41.8929908,-87.620956,2,0.0617,0.018,0.4183,0.6468,0.1025,0.0,0.0,0.0,0.0,3.0
17031081500,2,1.3333333333333333,41.8929064,-87.6260787,2,0.0572,0.0347,0.6071,0.6349,0.1513,0.0,0.0,0.0,0.0,0.0
17031081600,2,1.25,41.8920572,-87.6288708,2,0.1998,0.017,0.2385,0.569,0.097,0.0,0.0,0.0,0.0,0.0
17031081700,2,1.5,41.8922185,-87.6318316,2,0.0806,0.0013,0.5759,0.7203,0.1211,0.0,0.0,0.0,0.0,0.0
17031081800,2,1.1111111111111112,41.8933243,-87.6391895,2,0.0289,0.0042,0.1499,0.4794,0.0186,0.0,0.0,0.0,0.0,0.0
17031081900,2,0.75,41.89799,-87.641487,2,0.3893,0.1846,0.3204,0.6593,0.3868,0.0,0.0,0.0,0.0,0.0
17031090100,2,0.16666666666666666,42.0152552,-87.8135872,2,0.0707,0.1609,0.3961,0.0896,0.0623,0.0,0.0,0.0,0.0,0.0
17031090200,2,0.5,42.005594,-87.8130961,2,0.0395,0.1204,0.3692,0.3516,0.1147,0.0,0.0,0.0,0.0,0.0
17031090300,2,0.375,41.9991127,-87.8163644,2,0.158,0.1721,0.3278,0.0713,0.0691,0.0,0.0,0.0,0.0,0.0
17031100100,2,0.5714285714285714,41.989584,-87.7830136,2,0.4847,0.4175,0.4979,0.6622,0.5381,0.0,0.0,0.0,0.0,1.0
17031100200,2,0.75,41.9957734,-87.7942589,2,0.2384,0.1195,0.4334,0.482,0.2531,0.0,0.0,0.0,0.0,2.0
17031100300,2,0.4444444444444444,41.988733,-87.8042597,2,0.2962,0.6618,0.3852,0.694,0.4925,0.0,0.0,0.0,0.0,1.0
17031100400,2,0.16666666666666666,41.9889687,-87.8180411,2,0.2059,0.176,0.3448,0.3638,0.2033,0.0,0.0,0.0,0.0,0.0
17031100500,2,0.2,41.9780453,-87.8197314,2,0.1478,0.3125,0.5477,0.2604,0.2194,0.0,0.0,0.0,0.0,0.0
17031100600,2,0.3333333333333333,41.9792049,-87.7974007,2,0.3167,0.2877,0.635,0.1005,0.229,0.0,0.0,0.0,0.0,0.0
17031100700,2,0.16666666666666666,41.9721235,-87.7976295,2,0.337,0.2942,0.5785,0.7254,0.4809,0.0,0.0,0.0,0.0,0.0
17031110100,2,0.625,41.9874756,-87.7696729,2,0.5059,0.2058,0.7075,0.4563,0.4754,0.0,0.0,0.0,0.0,0.0
17031110200,2,0.16666666666666666,41.9800699,-87.7734442,2,0.488,0.316,0.7506,0.8584,0.6521,0.0,0.0,0.0,0.0,0.0
17031110300,2,0.4,41.9752907,-87.7832349,2,0.3389,0.1715,0.7509,0.3443,0.354,0.0,0.0,0.0,0.0,0.0
17031110400,2,0.14285714285714285,41.9729536,-87.7726114,2,0.3559,0.096,0.8048,0.2306,0.2891,0.0,0.0,0.0,0.0,0.0
17031110501,2,0.16666666666666666,41.9770023,-87.7619249,2,0.3161,0.194,0.7621,0.159,0.2698,0.0,0.0,0.0,0.0,0.0
17031110502,2,0.42857142857142855,41.9702865,-87.7598523,2,0.6752,0.2261,0.79,0.5931,0.6364,0.0,0.0,0.0,0.0,0.0
17031120100,2,0.8333333333333334,42.0019817,-87.7750065,2,0.0093,0.4557,0.2809,0.175,0.0989,0.0,0.0,0.0,0.0,1.0
17031120200,2,0.3333333333333333,41.9945319,-87.7576108,2,0.1523,0.579,0.5335,0.053,0.15,0.0,0.0,0.0,0.0,0.0
17031120300,2,0.25,41.9911122,-87.740066,2,0.0989,0.4277,0.5705,0.3304,0.2605,0.0,0.0,0.0,0.0,0.0
17031120400,2,0.36363636363636365,41.9772354,-87.7521624,2,0.3916,0.3882,0.7496,0.1423,0.346,0.0,0.0,0.0,0.0,1.0
17031130100,2,0.125,41.991104,-87.7208089,2,0.4401,0.8031,0.7695,0.9383,0.7838,0.0,0.0,0.0,0.0,0.0
17031130200,2,0.125,41.9818378,-87.7375733,2,0.2833,0.2113,0.6909,0.6516,0.4282,0.0,0.0,0.0,0.0,0.0
17031130300,2,0.0,41.9865589,-87.7133915,2,0.6354,0.5768,0.8533,0.7884,0.7607,0.0,0.0,0.0,0.0,0.0
17031140100,2,0.42857142857142855,41.9712014,-87.705805,2,0.8358,0.324,0.9393,0.729,0.8185,0.0,0.0,0.0,0.0,0.0
17031140200,2,0.25,41.9706949,-87.7130043,2,0.6923,0.0992,0.9191,0.9817,0.8047,0.0,0.0,0.0,0.0,1.0
